full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Jhon Elian García Sossa,22,955609200,2000-04-13,International Friendlies,2022,Midfielder,Bolivia,0,0,0,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jhon Frith Ornai Liu de Oliveira,20,1026889200,2002-07-17,International Friendlies,2022,Midfielder,Timor-Leste,71,0,71,Timor-Leste,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1.27,71,71,71,0,1.27,-1,-1,-1,19
Jhon Janer Lucumí Bonilla,24,898844400,1998-06-26,International Friendlies,2022,Defender,Colombia,212,180,32,Colombia,3,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,-1,-1,-1,12
Jhon Stefan Medina Ramírez,30,708505200,1992-06-14,International Friendlies,2022,Defender,Colombia,18,18,0,Colombia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,-1,22
Jhow Hendric Benavidez Banegas,26,819964800,1995-12-26,International Friendlies,2022,Midfielder,Honduras,78,78,0,Honduras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.15,78,78,0,0,0,-1,-1,-1,6
Ji Soo Park,28,771490800,1994-06-13,International Friendlies,2022,Defender,South Korea,224,134,90,South Korea,3,2,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0.4,224,75,0,0,0,-1,-1,-1,34
Ji Sung Eom,20,1020927600,2002-05-09,International Friendlies,2022,Midfielder,South Korea,6,0,6,South Korea,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,6,0,0,6,0,0,0,-1,-1,-1,11
Jin Gyu Kim,25,856771200,1997-02-24,International Friendlies,2022,Midfielder,South Korea,247,157,90,South Korea,4,3,1,2,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1.09,0.36,0.73,0.57,1,124,0.36,247,62,247,247,0.36,-1,-1,-1,5
Jin Su Kim,30,708418800,1992-06-13,International Friendlies,2022,Defender,South Korea,465,375,90,South Korea,6,5,1,0,0,0,2,2,0,0,0,2,2,0,6,5,1,0,0,0.39,0.39,0,0,0,0,1.16,78,78,0,233,0,55,8,51,36
Jindřich Staněk,26,830588400,1996-04-27,International Friendlies,2022,Goalkeeper,Czech Republic,46,0,46,Czech Republic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.96,46,46,0,0,0,-1,-1,-1,5
Jiovany Javier Ramos Díaz,25,854265600,1997-01-26,International Friendlies,2022,Defender,Panama,90,90,0,Panama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,90,90,90,0,1,-1,-1,-1,14
Jiří Pavlenka,30,703234800,1992-04-14,International Friendlies,2022,Goalkeeper,Czech Republic,136,90,46,Czech Republic,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.66,136,68,0,0,0,-1,-1,-1,15
Joachim Adukor,29,736326000,1993-05-02,International Friendlies,2022,Midfielder,Liberia,90,0,90,Ghana,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,5
Joachim Andersen,26,833526000,1996-05-31,International Friendlies,2022,Defender,Denmark,156,66,90,Denmark,2,1,1,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,2.31,39,78,0,0,0,-1,-1,-1,20
Joakim Mæhle,25,864111600,1997-05-20,International Friendlies,2022,Midfielder,Denmark,180,90,90,Denmark,2,1,1,1,1,0,1,0,1,0,0,1,1,0,4,0,4,0,0,1,0.5,0.5,1,0,180,2,45,90,0,180,0,-1,-1,-1,2
Joan Cervós,24,888307200,1998-02-24,International Friendlies,2022,Defender,Andorra,180,90,90,Andorra,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,17
Jóannes Bjartalíð,26,836982000,1996-07-10,International Friendlies,2022,Midfielder,Faroe Islands,69,0,69,Faroe Islands,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,-1,-1,-1,21
João Bosco Halle,19,1046592000,2003-03-02,International Friendlies,2022,Midfielder,Timor-Leste,90,0,90,Timor-Leste,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,23
João Cancelo,28,770022000,1994-05-27,International Friendlies,2022,Defender,Portugal,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
João Félix Sequeira,22,942220800,1999-11-10,International Friendlies,2022,Forward,Portugal,90,90,0,Portugal,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,5
João Lucas de Souza Cardoso,21,1000969200,2001-09-20,International Friendlies,2022,Forward,USA,23,0,23,Brazil,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.91,23,23,0,0,0,-1,-1,-1,7
João Maria Lobo Alves Palhinha Gonçalves,27,805273200,1995-07-09,International Friendlies,2022,Midfielder,Portugal,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
João Mário,29,727430400,1993-01-19,International Friendlies,2022,Midfielder,Portugal,44,44,0,Portugal,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.05,0,2.05,2.05,0,44,0,0,44,0,0,0,-1,-1,-1,2
Joao Panji Dos Santos Soares,22,972802800,2000-10-29,International Friendlies,2022,Defender,Timor-Leste,180,0,180,Timor-Leste,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3.5,26,90,0,0,0,-1,-1,-1,15
João Pedro Geraldino dos Santos Galvão,30,700128000,1992-03-09,International Friendlies,2022,Midfielder,Italy,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joaquim Marcos Cunga Balanga,24,889776000,1998-03-13,International Friendlies,2022,Defender,Angola,0,0,0,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joaquín Alberto Montecinos Naranjo,26,818323200,1995-12-07,International Friendlies,2022,Forward,Chile,24,0,24,Chile,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,31
Joaquin Correa,28,776761200,1994-08-13,International Friendlies,2022,Midfielder,Argentina,117,73,44,Argentina,3,2,1,1,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0.77,0,0.77,0,2.05,117,0,0,39,0,0,0,-1,-1,-1,4
Joaquin Rivas,30,704271600,1992-04-26,International Friendlies,2022,Midfielder,El Salvador,10,10,0,El Salvador,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,18,5,10,0,0,0,-1,-1,-1,16
Jodel Dossou,30,700819200,1992-03-17,International Friendlies,2022,Midfielder,Benin,64,0,64,Benin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.41,64,64,0,0,0,-1,-1,-1,3
Jodi Jones,25,877503600,1997-10-22,International Friendlies,2022,Forward,Malta,120,120,0,England,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.5,60,40,0,0,0,-1,-1,-1,6
Joe Aribo,26,837932400,1996-07-21,International Friendlies,2022,Midfielder,Nigeria,249,0,249,England,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,1.81,50,83,0,0,0,-1,-1,-1,32
Joe Bell,23,925196400,1999-04-27,International Friendlies,2022,Midfielder,New Zealand,245,90,155,New Zealand,3,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,1.47,61,82,0,0,0,-1,-1,-1,20
Joe Rodon,25,877503600,1997-10-22,International Friendlies,2022,Defender,Wales,30,30,0,Wales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,17
Joel Andersson,25,847699200,1996-11-11,International Friendlies,2022,Midfielder,Sweden,0,0,0,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel David Graterol Nader,25,855820800,1997-02-13,International Friendlies,2022,Goalkeeper,Syria,270,90,180,Venezuela,3,1,2,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,25
Joël Drommel,25,848131200,1996-11-16,International Friendlies,2022,Goalkeeper,Netherlands,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel Guillen Garcia,21,998982000,2001-08-28,International Friendlies,2022,Defender,Andorra,90,90,0,Andorra,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,45,0,0,0,-1,-1,-1,15
Joel King,22,972892800,2000-10-30,International Friendlies,2022,Defender,Australia,94,4,90,Australia,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,-1,-1,-1,13
Joel Nathaniel Campbell Samuels,30,709542000,1992-06-26,International Friendlies,2022,Forward,Costa Rica,173,90,83,Costa Rica,2,1,1,0,0,0,2,2,0,0,0,1,1,0,1,0,1,0,0,1.04,1.04,0,0,0,0,0.52,173,87,0,87,0,-1,-1,-1,20
Joel Pohjanpalo,28,779439600,1994-09-13,International Friendlies,2022,Forward,Finland,174,84,90,Finland,3,2,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,0,0.52,0.52,0,0,0,0,1.03,87,58,174,174,0.52,-1,-1,-1,12
Joel Waterman,26,822470400,1996-01-24,International Friendlies,2022,Midfielder,Canada,109,0,109,Canada,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.65,55,55,0,0,0,-1,-1,-1,19
Joey Roggeveen,24,890380800,1998-03-20,International Friendlies,2022,Goalkeeper,Suriname,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joffrey Negawabloua Bazié,19,1067241600,2003-10-27,International Friendlies,2022,Forward,Burkina,11,0,11,Burkina Faso,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,12
Johan Alberto Venegas Ulloa,33,596620800,1988-11-27,International Friendlies,2022,Midfielder,Costa Rica,104,13,91,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1.73,52,35,0,0,0,-1,-1,-1,11
Johan Felipe Vásquez Ibarra,24,909039600,1998-10-22,International Friendlies,2022,Defender,Mexico,28,28,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.21,28,28,0,0,0,-1,-1,-1,12
Johan Mojica,30,714380400,1992-08-21,International Friendlies,2022,Defender,Colombia,136,136,0,Colombia,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,-1,-1,-1,15
John Chishimba,20,1027062000,2002-07-19,International Friendlies,2022,Defender,Zambia,0,0,0,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
John Egan,30,719564400,1992-10-20,International Friendlies,2022,Defender,Republic of Ireland,360,270,90,Republic of Ireland,4,3,1,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,127,162,42,24
John McGinn,28,782463600,1994-10-18,International Friendlies,2022,Midfielder,Scotland,270,90,180,Scotland,3,1,2,2,0,2,1,1,0,0,0,0,0,0,4,0,4,0,0,1,0.33,0.67,0,1,135,1.33,68,90,0,270,0,-1,-1,-1,1
Jojo Wollacott,26,842166000,1996-09-08,International Friendlies,2022,Goalkeeper,Ghana,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,38
Jokull Andersson,21,998722800,2001-08-25,International Friendlies,2022,Goalkeeper,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jomo Harris,27,792835200,1995-02-15,International Friendlies,2022,Midfielder,Barbados,90,0,90,Barbados,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,9,1,0,0,0,0,0,0,0,9,10,90,90,0,1,-1,-1,-1,2
Jón Dagur Thorsteinsson,23,912067200,1998-11-26,International Friendlies,2022,Midfielder,Iceland,158,0,158,Iceland,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,2.85,32,79,0,0,0,-1,-1,-1,14
Jón Daði Böðvarsson,30,706777200,1992-05-25,International Friendlies,2022,Forward,Iceland,163,26,137,Iceland,3,1,2,0,0,0,1,0,1,0,0,0,0,0,7,2,5,0,0,0.55,0.55,0,0,0,0,3.87,23,54,0,163,0,-1,-1,-1,36
Jon Gorenc Stankovič,26,821606400,1996-01-14,International Friendlies,2022,Defender,Slovenia,50,9,41,Slovenia,4,1,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,13
Jonas Hilti,22,953712000,2000-03-22,International Friendlies,2022,Defender,Liechtenstein,0,0,0,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jonas Hofmann,30,711097200,1992-07-14,International Friendlies,2022,Midfielder,Germany,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,10
Jonas Older Wind,23,918374400,1999-02-07,International Friendlies,2022,Midfielder,Denmark,90,0,90,Denmark,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,12
Jonas Omlin,28,758188800,1994-01-10,International Friendlies,2022,Goalkeeper,Switzerland,90,0,90,Switzerland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,3
Jónatan Ingi Jónsson,23,921484800,1999-03-15,International Friendlies,2022,Forward,Iceland,28,0,28,Iceland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,-1,-1,-1,19
Jonathan Buatu Mananga,29,749113200,1993-09-27,International Friendlies,2022,Defender,Angola,90,0,90,Angola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,2
Jonathan Clauss,30,717404400,1992-09-25,International Friendlies,2022,Defender,France,89,89,0,France,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,-1,-1,-1,6
Jonathan David,22,947836800,2000-01-14,International Friendlies,2022,Forward,Canada,270,90,180,Canada,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,20
Jonathan Enrique Moncada Zeledon,24,883814400,1998-01-03,International Friendlies,2022,Midfielder,Nicaragua,205,17,188,Nicaragua,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1.76,51,51,0,0,0,-1,-1,-1,11
Jonathan Gomez,19,1062399600,2003-09-01,International Friendlies,2022,Defender,Mexico,8,8,0,USA,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,39
Jonathan Mensah,32,647852400,1990-07-13,International Friendlies,2022,Defender,Ghana,76,0,76,Ghana,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1.18,0,1.18,0,1.18,76,2.37,38,76,0,0,0,-1,-1,-1,1
Jonathan Morsay,25,876034800,1997-10-05,International Friendlies,2022,Midfielder,Sierra Leone,46,0,46,Sweden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.96,46,46,0,0,0,-1,-1,-1,12
Jonathan Osorio,30,708332400,1992-06-12,International Friendlies,2022,Midfielder,Canada,120,0,120,Canada,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.5,60,60,0,0,0,-1,-1,-1,11
Jonathan Rafael Faña Frías,35,545122800,1987-04-11,International Friendlies,2022,Forward,Dominican Republic,2,2,0,Dominican Republic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,14
Jonathan Tah,26,824025600,1996-02-11,International Friendlies,2022,Defender,Germany,90,90,0,Germany,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,18
Jonathan Williams,29,750150000,1993-10-09,International Friendlies,2022,Midfielder,Wales,19,19,0,Wales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,-1,-1,-1,3
Jong Gyu Yoon,24,890380800,1998-03-20,International Friendlies,2022,Defender,South Korea,150,150,0,South Korea,2,2,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0,1,0,0.6,0.6,0,0,0,0,1.2,75,75,150,150,0.6,-1,-1,-1,19
Jonny Evans,34,568195200,1988-01-03,International Friendlies,2022,Defender,Northern Ireland,63,0,63,Northern Ireland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,14
Joon Ho Son,30,705654000,1992-05-12,International Friendlies,2022,Midfielder,South Korea,140,140,0,South Korea,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,140,0,0.64,-1,-1,-1,22
Jordan Ayew,31,684572400,1991-09-11,International Friendlies,2022,Forward,Ghana,180,90,90,Ghana,3,1,2,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,0,0,1.5,60,60,0,0,0,-1,-1,-1,19
Jordan Carrillo Rodríguez,21,1004774400,2001-11-03,International Friendlies,2022,Forward,Mexico,18,18,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,-1,34
Jordan Henderson,32,645606000,1990-06-17,International Friendlies,2022,Midfielder,England,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,18
Jordan Joel Girón Rivas,21,977385600,2000-12-21,International Friendlies,2022,Forward,Panama,0,0,0,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jordan Lotomba,24,907052400,1998-09-29,International Friendlies,2022,Midfielder,Switzerland,90,90,0,Switzerland,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,90,1,90,90,0,0,0,-1,-1,-1,2
Jordan Morris,28,783154800,1994-10-26,International Friendlies,2022,Forward,USA,134,0,134,USA,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.67,134,67,0,0,0,-1,-1,-1,13
Jordan Pickford,28,763027200,1994-03-07,International Friendlies,2022,Goalkeeper,England,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,6
Jordan Thompson,25,852278400,1997-01-03,International Friendlies,2022,Midfielder,Northern Ireland,85,22,63,Northern Ireland,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.06,85,43,0,0,0,-1,-1,-1,16
Jordi Alba,33,606470400,1989-03-21,International Friendlies,2022,Defender,Spain,117,85,32,Spain,3,2,1,0,0,0,2,2,0,0,0,1,1,0,1,1,0,0,0,1.54,1.54,0,0,0,0,0.77,117,39,0,59,0,-1,-1,-1,14
Jordi Rubio Gómez,34,562752000,1987-11-01,International Friendlies,2022,Defender,Andorra,0,0,0,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jordy Clasie,31,678006000,1991-06-27,International Friendlies,2022,Midfielder,Netherlands,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jordy Joâo Monroy Ararat,26,820656000,1996-01-03,International Friendlies,2022,Defender,Armenia,90,0,90,Colombia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,8,11,90,0,0,0,-1,-1,-1,24
Jordy Josué Caicedo Medina,24,879840000,1997-11-18,International Friendlies,2022,Midfielder,Ecuador,83,61,22,Ecuador,2,1,1,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1.08,0,1.08,1.48,0,83,0,0,42,0,0,0,-1,-1,-1,2
Jorge Abdiel Gutiérrez Cornejo,24,904633200,1998-09-01,International Friendlies,2022,Defender,Panama,72,0,72,Panama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.25,72,72,0,0,0,-1,-1,-1,26
Jorge Andrés Carrascal Guardo,24,896079600,1998-05-25,International Friendlies,2022,Midfielder,Colombia,70,70,0,Colombia,2,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1.29,1.29,0,0,0,0,0,0,35,0,70,0,-1,-1,-1,21
Jorge Antonio Méndez Castillo,21,986540400,2001-04-06,International Friendlies,2022,Midfielder,Panama,43,0,43,Panama,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22,43,0,2.09,-1,-1,-1,32
Jorge Daniel Alvarez Rodas,24,885974400,1998-01-28,International Friendlies,2022,Midfielder,Honduras,90,0,90,Honduras,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,45,90,90,0,1,-1,-1,-1,24
Jorge Eduardo Aparicio Grijalva,29,722332800,1992-11-21,International Friendlies,2022,Midfielder,Guatemala,24,0,24,Guatemala,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,12
Jorge Eduardo Sánchez Ramos,24,881740800,1997-12-10,International Friendlies,2022,Defender,Mexico,270,270,0,Mexico,3,3,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,25
Jorge Emanuel Morel Barrios,24,885456000,1998-01-22,International Friendlies,2022,Midfielder,Paraguay,0,0,0,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
José Adoni Cifuentes Charcopa,23,921225600,1999-03-12,International Friendlies,2022,Midfielder,Ecuador,357,149,208,Ecuador,5,2,3,0,0,0,0,0,0,0,0,5,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,71,357,0,0.25,58,87,-1,26
Jose Alfredo Morales Concua,25,849600000,1996-12-03,International Friendlies,2022,Defender,Guatemala,270,0,270,Guatemala,3,0,3,0,0,0,0,0,0,0,0,1,0,1,6,0,6,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,15
José Andrés Martínez Torres,28,776242800,1994-08-07,International Friendlies,2022,Midfielder,Venezuela,139,0,139,Venezuela,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,29
José Aurelio Carvallo Alonso,36,510048000,1986-03-01,International Friendlies,2022,Goalkeeper,Peru,90,0,90,Peru,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,44
José Carlos Guerra,28,779353200,1994-09-12,International Friendlies,2022,Goalkeeper,Panama,0,0,0,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
José Carlos Martínez,25,876466800,1997-10-10,International Friendlies,2022,Forward,Guatemala,0,0,0,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
José Carlos Pinto Samayoa,29,740214000,1993-06-16,International Friendlies,2022,Defender,Guatemala,270,90,180,Guatemala,3,1,2,0,0,0,0,0,0,0,0,1,0,1,5,1,4,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,21
José Daniel Rivera Martínez,25,863074800,1997-05-08,International Friendlies,2022,Forward,Peru,46,46,0,Peru,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,18
